sentence,corrected_sentence,original_label,edit_distance_ratio,GAS_log_inv,GAS_corrected,GAS
"Our friends won't buy this analysis, let alone the next one we propose.","Our friends won't buy this analysis, let alone the next one we propose.",1,0.0,13.815511557963774,3.716922323369668,1.0
One more pseudo generalization and I'm giving up.,One more pseudo generalization and I'm giving up.,1,0.0,13.815511557963774,3.716922323369668,1.0
One more pseudo generalization or I'm giving up.,One more pseudo generalization or I'm giving up.,1,0.0,13.815511557963774,3.716922323369668,1.0
"The more we study verbs, the crazier they get.","The more we study verbs, the crazier they get.",1,0.0,13.815511557963774,3.716922323369668,1.0
Day by day the facts are getting murkier.,Day by day the facts are getting murkier.,1,0.0,13.815511557963774,3.716922323369668,1.0
I'll fix you a drink.,I'll fix you a drink.,1,0.0,13.815511557963774,3.716922323369668,1.0
Fred watered the plants flat.,Fred watered the plants flat.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill coughed his way out of the restaurant.,Bill coughed his way out of the restaurant.,1,0.0,13.815511557963774,3.716922323369668,1.0
We're dancing the night away.,We're dancing the night away.,1,0.0,13.815511557963774,3.716922323369668,1.0
Herman hammered the metal flat.,Herman hammered the metal flat.,1,0.0,13.815511557963774,3.716922323369668,1.0
The critics laughed the play off the stage.,The critics laughed at the play off the stage.,1,0.06976744186046512,2.730015709372545,1.6522759180513844,0.29350913153026875
The pond froze solid.,The pond froze solid.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill rolled out of the room.,Bill rolled out of the room.,1,0.0,13.815511557963774,3.716922323369668,1.0
The gardener watered the flowers flat.,The gardener watered the flowers flat.,1,0.0,13.815511557963774,3.716922323369668,1.0
The gardener watered the flowers.,The gardener watered the flowers.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill broke the bathtub into pieces.,Bill broke the bathtub into pieces.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill broke the bathtub.,Bill broke the bathtub.,1,0.0,13.815511557963774,3.716922323369668,1.0
They drank the pub dry.,They drank the pub dry.,1,0.0,13.815511557963774,3.716922323369668,1.0
They drank the pub.,They drank in the pub.,0,0.15789473684210525,1.992424695012919,1.4115327467022927,0.21113044830079958
The professor talked us into a stupor.,The professor talked us into a stupor.,1,0.0,13.815511557963774,3.716922323369668,1.0
The professor talked us.,The professor talked to us.,0,0.125,2.197217466256713,1.4823014087076598,0.23534641736544198
We yelled ourselves hoarse.,We yelled at ourselves hoarse.,1,0.1111111111111111,2.3025769930341404,1.5174244604045832,0.24736499605898893
We yelled ourselves.,We yelled at ourselves.,0,0.15,2.036876130181435,1.4271916935651758,0.21648870380643143
We yelled Harry hoarse.,We yelled Harry Hoarse.,0,0.043478260869565216,3.1780317889453156,1.7827035056187317,0.3381394853649546
Harry coughed himself into a fit.,Harry coughed himself into a fit.,1,0.0,13.815511557963774,3.716922323369668,1.0
Harry coughed himself.,Harry coughed himself.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
Harry coughed us into a fit.,Harry coughed us into a fit.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
Bill followed the road into the forest.,Bill followed the road into the forest.,1,0.0,13.815511557963774,3.716922323369668,1.0
We drove Highway 5 from SD to SF.,We drove Highway 5 from SD to SF.,1,0.0,13.815511557963774,3.716922323369668,1.0
Fred tracked the leak to its source.,Fred tracked the leak to its source.,1,0.0,13.815511557963774,3.716922323369668,1.0
John danced waltzes across the room.,John danced waltzes across the room.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill urinated out the window.,Bill urinated out the window.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill coughed out the window.,Bill coughed out the window.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill bled on the floor.,Bill bled on the floor.,1,0.0,13.815511557963774,3.716922323369668,1.0
The toilet leaked through the floor into the kitchen below.,The toilet leaked through the floor into the kitchen below.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill ate off the floor.,Bill ate off the floor.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill drank from the hose.,Bill drank from the hose.,1,0.0,13.815511557963774,3.716922323369668,1.0
This metal hammers flat easily.,This metal hammer flat easily.,1,0.03225806451612903,3.4657058720297473,1.8616406398738043,0.3651505824664851
They made him president.,They made him president.,1,0.0,13.815511557963774,3.716922323369668,1.0
They made him angry.,They made him angry.,1,0.0,13.815511557963774,3.716922323369668,1.0
They caused him to become angry by making him.,They caused him to become angry by making him.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
They caused him to become president by making him.,They caused him to become president by making him.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
They made him to exhaustion.,They made him to exhaustion.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
They made him into a monster.,They made him into a monster.,1,0.0,13.815511557963774,3.716922323369668,1.0
The trolley rumbled through the tunnel.,The trolley rumbled through the tunnel.,1,0.0,13.815511557963774,3.716922323369668,1.0
